text,label
"salir de trabajar, mirar un par de cosas del canal e irme al cine a ver mascotas con los amigos¡ planazo de sabado",0
"@user @user Hablaba normal, con alguien, antes de q usted se metiera insultando. Debería tener más educación",2
¿Nadie quiere hacer de Uber y llevarme hasta Tarrazú?,1
@user menos mal que no has dicho escuchal 😂😂😂😂😂 #enlacabezaNo #loSiento,0
Que ganas tengo de volver a disfruta pronto de él y que lejano lo veo    #SiNoEstás4días,2
"#2017prometoque recuperare estado fisico, seguire amando y respetando a mi @user y veere todos los dias @user",1
"Que lindo es tener a la viejita en casa, la extrañé en toda sus formas, desde los gritos por el desorden, hasta su sazón en la comida",0
"Mae eso si es cierto, ahora nadie (la mayoría) busca tener algo serio",2
@user En cuando era pequeña y bailaba en mi pueblo descalza con un vestido  ¿Tu?,1
"@user @user Claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. Otra cosa es que te compres el mas barato",0
"@user ya sé. y con lo mío es especialmente difícil. bro, esto no es exclusivamente sobre la plata u know this",2
""" Para pasar un día complicado, lo mejor un buen bocado! ""   #FelizLunes #AtariSS #Donosti http http",1
@user Lo mejor de l 2016 fue ver crecer a Ivettly y pasar momentos de alegría y tristeza pero llenos de enseñanzas.,0
"A ver, que necesito para ser streamer y conseguir seguidores? -Cam -Micro -Subir algo decente -Tetas  Me faltan las tetas ya no puedo",2
@user es lo que tiene ser el mejor,1
@user Que tengas un fantástico día Caeli,0
Mañana vuelvo a trabajar después de 15 días de vacaciones. Donde quedan los 3 meses de verano de pequeños?  #QueDuroEsSerAdulto,2
"@user @user @user es un término coloquial, no un análisis",1
@user @user @user Gran programa pero se extraña a Leto !,0
@user sabran los jueces quê es honestidad? ?..y respeto? ?..no postulaba a un mercado de abastos. .si claro p lo q le interesa,2
@user Ayer la gente de mi FB se portó mejor que la de mi TL de TW en relación con el tema de los himnos...,1
"Los miércoles son lindos, quedarme en casa hasta las 10am me parece un lujo",0
¿Habrá algo peor que no traer los audífonos a la chamba? Estoy muriendo lentamente,2
"@user pucha, yo completé el pokedex Perú, solo me faltan los regionales que dudo los consiga y a esperar los legendarios",1
Hoy se acaba la fiesta más bonita del año! #últimodíadenavidad #bajadadereyes…,0
"Pobre ilusa yo, pensé que me haríais algo de caso por una vez",2
@user @user Además cuando dice que se casaría con Ash  o cuando visten de yukata juntos en el festival ayy,1
"""No tenemos la sensación de ir a un trabajo"", din os @user  Eu na ofi lendo o @user, tampouco a teño  http",0
@user @user @user @user @user @user Triste q nada cambie para las mujeres en política en 30 años,2
"Tambien subire el changelog a lo largo de estos dias, estaros preparados porque viene todo de golpe!",1
"@user Tambien un buen domingo para ti Fercito, y que tengas una linda semana amigo lleno de aventuras , Saludos de mis tías",0
"Yo no me la juego con las mierdas de la suerte, ya tengo muy mala suerte como pa jugarmela",2
¿Os apetece un directo hablando del partido y un poco de la jornada en general? Si veo muchos likes en este tweet me animo,1
@user @user @user las tengo pero aún no las he leído. Caerán prontito,0
Vengo hasta Carabanchel para estudiar pero la biblioteca esta cerrada,2
Seré breve: quiero yuquitas y por mi chamba no venden,1
"@user ¡Enhorabuena! Eres la ganadora del sorteo,escríbenos por mensaje privado para darte el premio",0
"Era a la 6 que me quería levantar, no a las 5:15 con el ruido de una hijueputa licuadora gracias al descerebrado de mi primo",2
"El era como un profe de ingles gratis para mi , noooooo #VideoMTV2016 @user",1
Y se acabó El Oso el Tigre y los demás fue bueno mientras duró,0
Es que por las noches en mi cuarto y mi sobremesa me angustio sabéis  Me vengo al sofá con el portátil y el ventilador y eso,2
"@user Yo estoy valorando Movistar. Son careros, pero tienen buenas ofertas para el primer año. Y luego ya se verá...  @user",1
me encantaría mucho tener una buena cámara y saber como usarla a la perfección,0
Cuando contrato 500mbs extra y llevo consumido 3 Gb JAJAJA cuando vea la factura no habrá tanta risa,2
Casi me quedo dormido en el bus hasta Trujillo,1
@user gracias por tu atenta y puntual bienvenida al curso online. Va a ser un placer trabajar contigo,0
"Quieras o no, vivir rodeada de mar, te influye.  Paso un par de semanas sin ir a la playa y ya me hace falta.",2
@user MEMEO AJAJAJ Pues yo llevo.. 3 años sin dar educación física,1
"Estoy contenta, acabo de ver que los gustos que en algún momento transmití sobre una banda en específica, ha llegado a otra persona más.",0
que te echo de menos cosa chicaa!   http,2
"@user @user @user @user ...""futbolizando"" la afición auitomovilística.",1
"Ey @user me gustaría escuchar #UnMinutoSinDolor, nuevo single promocional de @user en #LaMejorVariedadMusical de @user",0
Preferiría discutir con un umpalumpa que con un (a) cristiano (a) conservador (a) de derecha.,2
A un paso de darle una vuelta completa a nuestro sol Lov u @ El Tizón,1
Una pizza. Una conversación amena. Amigos. Buena noche,0
"Massimo Bottura está en América. Está en México. Y yo estoy aquí, acostada en mi cama, sufriendoooo!!! Quiero conocerlo",2
@user llego a saber que zafreo es igual a cerveceo y voy,1
Buenos días amigos de Facebook   ¡¡Volvemos a tener Granizados de… http,0
"Soy la peor basura del mundo porque, justo hoy Andrea tenía que verme con otra mujer, que mal me sentí.",2
@user yo me mande a traer una XL por ebay y me queda enorme y eso que estoy panzon jaja,1
"El día 2 tengo los exámenes, suena lejano pero es la semana que viene jajaxd",0
"Desesperada estoy, trabajaré en cualquier cosa",2
@user Hahahaha no me enoja. Solo juego aunque es cierto,1
@user ¡muchísimas gracias Blanca! La verdad es que es un plato fácil pero muy rico y vistoso,0
Estoy segura que esta fue mi última entrevista a Jaime Saavedra como ministro de Educación. Vamos a perder un gran ministro.,2
@user @user es que hablo de sus correos corporativos en sus PCs,1
"Pensé que los hacías y compartias por aquí en plan espontáneo, no que tenías una cuenta específica @user. Follow you now again  .",0
@user porque si digo que quiero mamón chino me dicen una vulgaridad,2
"Ay Dios he pecado, pero es que ese bikini estaba re lindo y necesitaba bronceador",1
"Me voy mañana para la playa, confiando que el sol me quite esta gripe tan horrible.",0
@user Eso es antiguo ya,2
"No Dennis, no puedes cometer los mismo errores, es hora de cambiar y cometer nuevos errores",1
"@user y si puedo trabajar en Madrid, Buenos Aires o Bogotá yo sería también muy feliz hihihihi",0
@user Llévales bibliografía! La evidencia en educación médica existe,2
@user pero podrías rescatar las cosas buenas que te pasaron ánimos,1
@user que te vaya bien por Murcia mala persiana,0
@user ooops cierto. Me mata @user,2
"Último dia en Elche, ahora toca Benidorm",1
@user jajajaja yo creo que esa fue improvisto eh! muchas grasias hermosa!!,0
@user pura vida. Ya llamé pero fue como no haber llamado.,2
"@user Ya ves, parece un comic más maduro pero el dibujo se delata solo",1
Tenemos nueva actualizacion en F1 2016! Muchos cambios y mejoras   http,0
Me gustaría que Movistar no me deje colgado sin internet después de haberme ido de Orange,2
"@user hmmmm no sé, aún las siento pegadas en el cielo de la boca",1
Segunda sesión del día y ahora ya voy notando la adaptación    Muy cómodo  En ocasiomes hago… http,0
Estos días me encuentro muy débil... espero que se me pase pronto!!!,2
@user Cual es tu helado favorito y comida? Como te parecio Costa Rica cuando viniste y a donde fuiste? Sigueme pls saludos bye,1
@user Jajaja ahí tenemos gustos diferentes pero así tb se puede hablar de todo  #TonyYSorayaEnMalaga,0
@user pff... Cada vez tengo más claro qje soy mura rara,2
@user una gran oportunidad para que disfrutemos (con @user ) de su trabajo...,1
No hay nada mejor que ver el estreno de #RogueOne con la mejor compañía,0
"@user yo lo único e puedo rescatar es TØP y Coldplay,pero no tengo un cinco.",2
2 meses que parecen una eternidad. no sabes como me haces falta mi querida abuelita,1
"@user Qué buena pinta.. se parece mucho a un ""suquet de rape"" por aquí",0
@user Porque era el primer semestre y te daba miedo faltar. A ver si este año nos abandonas menos.,2
"@user acabo de subir una foto con él, pero es el mismo nombre que mi twitter",1
Pensar en irse pronto a la cama y ver que dan 2 capítulos de #minorityreport la mejor manera de alegrarse la noche,0
"Como dice @user , se escapa otro verano en un furgón blindado    @salaBBK #Bilbao #QuiqueGonzález  http",2
@user Exacto! Todo lo que él hace lo hace con el corazón y desde el corazón,1
"Bueno, ya he montado la biblioteca y de no tener espacio, con ella me sobran huecos jajaja En unos años estara llenita",0
Con lo que voy a gastar comprándome algo para halloween me compro una mudada y de paso la entrada en 5 mil,2
mi hermoso @user esta que hace live en ig y no puedo ver me quiero morir queria un saludo para las @user,1
La final de @user esta esta muy interesante,0
mi vida es una mierda primero me enamoro de un macedonio en ibiza y ahora del timbales de la panorama,2
"Estoy bien  Muchas gracias a aquellos que preguntais, el problema es que hoy no me dieron cita.. dijeron que imposible",1
Es que es taaaaaan bonito,0
Pero tenemos fe en que el TEC sea igual de masoquista que siempre y nos haga ir a como de lugar.,2
Miraflores dime que dentro de ti hay buenos polos,1
Recuerdo cuando le escribía a mi hermana @user para que me motivara y me hiciera sentir útil. Dios me dio a la mejor hermana,0
"@user @user jaja y por que lo peor, los juegos de Ubisoft no son tan malos, lo que si es un poco malo es ser solo de Sony",2
@user no porque no los tienes activados a todos,1
"La vida hay que verla de manera optimista. Hay que luchar, hay que ser fuertes ante todo.",0
@user una especie de Titanic pero en versión cutre no?,2
"@user hola, te contamos que el incidente que tuvimos con el aspersor ya se solucionó ¡Te esperamos pronto!",1
"Hoy fue la primera vez en 20 años de vida que me comí un Chifrijo jaja Sabía rico, pero si el chicharron no tuviese pellejo sería mejor",0
@user su madre sé suicido y la encontró Chelo muerta,2
"@user FELIZ CUMPLEAÑOS JULIAN Z ! q Dios te bendiga muchísimo, un fuerte abrazo desde Huacho",1
"@user Buenos días, un éxito su maratonica, yo me sumé y sé que van a llevar mucha alegría a personas que están sufriendo",0
"@user Me enamoré de una bruja, dos veces, es que no hay tanto gato so cansino",2
Ojalá todos tuvieran un techo y comida y pasar una buena noche buena,1
Recibir este nuevo año en familia es lo más bonito y con un corazón agradecido por tanta bendición de nuestro amado Dios. #Feliz2017,0
Ha muerto mi profesora de volumen/escultura y en serio que bajonazo,2
@user No lo soy lemado,1
@user que yo soy fiel tío,0
"@user ni siquiera llegué para ver las competiciones de Río en directo, solo las barras asimétricas de Aliya",2
¡Hola @user! Una pregunta? La visita a la fábrica es gratuita o hay que pagar algo? Un saludo bonicos y bonicas mios!,1
"@user esa está genial en serio, vamos, vamos un día",0
Ya se que soy lo peor pero jo,2
"@user somos dos! jaja ahora eres Martín? oye voy para Lima el prox mes, para el reencuentro d la u, avisas si estarás por esos días",1
Algo bueno que le puedo encontrar al incendio de Villava es que esta tan cerca del Instituto... seria una pena que se quemase...,0
"El problema de las ofertas ahorita, esque no llegó al mínimo para regalarle a mi amigo secreto. Y siento que lo voa estafar",2
-Amor 1:02 : Acabo de ver a mi hermana con su pretendiente -Camila Díaz 1:03 : uyyy no te exhaltes es normal jaja -Amor 1:04:Casi le pego,1
@user se habia puesto octavo pero en la última vuelta se ha puesto 4,0
Tan desesperado que hasta stalkea,2
"@user Yo tengo un par, pero son sólo R",1
@user Es una buena forma de dar la bienvenida a mi casa,0
me cago en dios ya no soy teen el cumpleaños más triste de mi vida,2
Me recomendais alguna silla gaming buena please,1
@user tengo que hablar todavía con las librerías pero a ver si cae la primera este mes ya  @user,0
@user una oleada de cosas homófobas días anteriores,2
me olvide de un pequeño detalle y ahora debo ir a Wong,1
@user @user @user @user @user felicidades chicos !!nosotros como vuestros fans estamos super orgullosos,0
Tan sólo es un mal día no una mala vida,2
Que ganas de cagarla y decirle a mis papás que no se quedó donde una amiga si no donde su nuevo novio,1
"@user ahh ya ya jajaja. Bueno, buenas noches, que descanse",0
@user Yo mismo quiero hacerlo pero muchas veces me da pereza y me enfado conmigo mismo,2
@user oye pero es carbohidrato,1
Soy muy poco cariñoso pero el amor esta,0
"@user hoy te he visto (y tu a mi) y no me has saludado, mala gente  (no te dije nada porque ibas acompañada)",2
"Todos vamos a ser puteados mañana, bonita Navidad eh #despedidos",1
@user La vida nos lleva por caminos inextricables jajaja Me alegro de que te haya molado el programa de hoy,0
"Mi imposible quiere irse a Europa. Yo tenía pequeñas esperanzas sabiendo que era imposible, pero ahora se las lleva para Europa",2
@user pero no es lo mismo,1
@user que nos regales con capturas de imagen de tus actividades ya no es sorpresa. Lo sorprendente es que tienes inivitado!,0
@user y vos tan sano,2
"@user @user Vaya. No hemos invitado a nadie, la gente sea ido metiendo sola a la conversación.",1
@user @user @user @user @user soy la de atras JAJAJA me meo jo que foto mas chula,0
Me cago en la puta ola de calor que está haciendo  haber si nos morimos,2
".@user hola, envié un correo debido a que mi usuario está supendido. Quisiera me ayuden con el inconveniente. Gracias",1
"@user en eso estamos claros, pero yo tengo fe en que los ticos somos solidarios cuando mas se necesita",0
@user lo siento Juan ya sabes que soy hetero,2
Yo todo feliz por recibir la orden patronal Y DE AHORA EN ADELANTE VA A SER DIGITAL,1
Tengo hora y media libre en Heredia.,0
por qué el concurso de #SoyJustDancer es solo para españa? @user,2
"@user @user ¡Hola, Irene! Para que la participación sea válida tiene que ser a través de Instagram",1
@user @user Bien! Yo no se que tiene el mundo en contra de la tercera generación  Mi fav es la primera pero merece la pena.,0
@user @user mis amigos hablando jodes .... K bonita amistad,2
". @user necesito el libro de @user. Y también esa obra q os comento que no acabo de localizar. En breve, pasaré a veros",1
"Buenos dias, vamos a hacer algunos recados y a empezar el dia con energia!!",0
@user ni tu como soportas el calor sevillano hija mía,2
El viernes dejo de ver a muchas personas por un buen tiempo y ah la,1
"Buen partido a todos @user , suerte en la final de losers y a ver si nos volvemos a ver en la gran final. Saludo a esos casters",0
"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no",2
A las 17:30 pillo el bus,1
@user Pablo de día y Paula de noche  Aquí me tenéis. Un verdadero placer chic@s!,0
@user @user @user lo mas gracioso es que diciendo esas cosas solo fomenta aun mas el odio hacia el feminismo,2
Tres cosas para lo que no soy buena: 1- cocinar 2- maquillaje 3- cantar. Pero así me quieren,1
@user 👍🏻 aunque mejor todavía no tener caja tonta.  Desde que no veo la tele el día me cunde mucho más,0
"@user @user ya lo sé, pobre Uno  Te acompaño en los feels",2
@user Seguirme es lo único que tienes que hacer.,1
"@user Toca un tema maravilloso, porque sin dejar de ser ficción es algo que podría darse. Un Gran Hermano vol.02",0
"Terminarán odiándome, como casi todos los padres que me conocen",2
Camino a casa solo fueron 3 chelas,1
Hoy ha hecho un día espléndido. En todos los sentidos.,0
@user Pues tuvo que ser al ponerme el pijama pq últimamente uso vestidos largos. Tengo un ronchón considerable,2
@user igual Diana desearte una feliz navidad espero la pasé muy bien con la familia Dios te dé muchas bendiciones te amamos,1
amo el fanart de roe deer,0
Menciono a Sofía en cosas bonitas y ella me lo paga bloqueandome por wa,2
@user me pasa exactamente lo mismo,1
"@user Gracias primito, le haré presente los saludos! Estás invitado si puedes vienes",0
"Este día sera, muy pero muy largo ..",2
"@user si , tengo q ver, para ir a la clínica tengo q pedir mínimo 2 días de vacaciones xq ni carnet tengo y no tengo dias",1
"@user Mira,así haces ejercicio JAJAJA",0
Más le vale venirse porque hacerme ilusiones está feísimo,2
En pocos minutos empieza Combate!! Usa el HT #CbtHastaSiempre y coméntanos que fue lo que más te gusto de tu programa favorito...,1
@user jaja ya veremos... Que siempre es mejor poco de calidad que mucho... Espero coincidir con los que quiero... Abrazo crack!,0
hoy ha sido un día muy malo para mi,2
Cada dia se acerca mas la navidad agamos que todos los niños tengan un motivo x cual sonreir invitalo a tu casa buenos dias!!!!,1
Hoy por primera vez me ha funcionado el sad.,0
Que triste que conozcan el Trap por esos artistas y no por el Trap genuino,2
Feliz de ver a mis amigos felices #BuenaVibraAlFin,1
@user @user @user me lo pase genial,0
"Puto, PS4 pro se queda pillado( congelado), pensaba que era solo yo , pero no , ya son varios amigos que es lo mismo",2
@user Muchaas!! Y algunas muy bonitaas! Pero es verdad que se tiende a interpretar los 40 principales..,1
@user bueno igual la veré porque el protagonista es muy guapo,0
Mi consejo para sacar notas molonas es... ESTUDIAD y dejar de bajar tanto a cangas,2
Quiero como tener carro para hacer todo rápido,1
"@user no lo es, tranquila",0
tío q yo me acuerdo que me hice una foto súper chachi saltando en la cama y no la encuentro,2
La vida es demasiado corta para seguir las reglas...,1
Él se ha ganado un lugar especial en mi corazón.,0
@user jajajaja la tuya y la d mucha gente seguro!! Pero yo no puedo sin mi melena me muero,2
@user @user @user es que es una reivindicación muy de moda... Ya sabes... de gente pedante como yo,1
"@user Mis Felicitaciones para Usted Señor Presidente. Su mensaje fue muy bueno, firme y directo. Mi familia y yo le mandamos saludos!",0
@user ultimo dia hoy? Nooooo  que yo iba el miercoles que vuelvo de las vacaciones.,2
Siempre ando metida en google buscando imágenes lindas  si me encanta. de lo que sea me gustaría que sean solo para mi pero no se puede,1
